disease,tau,method,method_label,rejection_rate,sensitivity,specificity,auprc,n_retained,minority_coverage,majority_coverage
PD,0.39,h_tau,H_tau (Global),0.25,0.782608695652174,0.8362068965517241,0.7146794070474054,185,0.71875,0.7733333333333333
PD,0.39,h_tau,H_tau (Global),0.3,0.7846153846153846,0.8611111111111112,0.7163711504440077,173,0.6770833333333334,0.72
PD,0.39,h_tau,H_tau (Global),0.35,0.7931034482758621,0.8627450980392157,0.7079075928518365,160,0.6041666666666666,0.68
PD,0.39,h_tau,H_tau (Global),0.4,0.7818181818181819,0.8602150537634409,0.7100060530511958,148,0.5729166666666666,0.62
PD,0.39,h_tau,H_tau (Global),0.45,0.75,0.8522727272727273,0.7008987322871912,136,0.5,0.5866666666666667
PD,0.39,h_tau,H_tau (Global),0.5,0.75,0.8734177215189873,0.7046741197089005,123,0.4583333333333333,0.5266666666666666
PD,0.39,h_tau,H_tau (Global),0.55,0.7368421052631579,0.863013698630137,0.6950418235662962,111,0.3958333333333333,0.4866666666666667
PD,0.39,h_tau,H_tau (Global),0.6,0.7142857142857143,0.875,0.7031589238410082,99,0.3645833333333333,0.4266666666666667
PD,0.39,h_tau,H_tau (Global),0.65,0.7272727272727273,0.8888888888888888,0.7255958556902525,87,0.34375,0.36
PD,0.39,h_tau,H_tau (Global),0.7,0.7407407407407407,0.8723404255319149,0.7256774732140744,74,0.28125,0.31333333333333335
PD,0.39,h_tau,H_tau (Global),0.75,0.7391304347826086,0.8974358974358975,0.7363424224415669,62,0.23958333333333334,0.26
PD,0.39,h_tau,H_tau (Global),0.8,0.8333333333333334,0.875,0.7293753963710103,50,0.1875,0.21333333333333335
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.0,0.71875,0.76,0.6998023244065193,246,1.0,1.0
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.05,0.7444444444444445,0.7708333333333334,0.7036394052930166,234,0.9375,0.96
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.1,0.7558139534883721,0.7794117647058824,0.7097626896892467,222,0.8958333333333334,0.9066666666666666
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.15,0.7974683544303798,0.7938931297709924,0.7106457542942782,210,0.8229166666666666,0.8733333333333333
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.2,0.8,0.8032786885245902,0.715105088727553,197,0.78125,0.8133333333333334
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.25,0.8142857142857143,0.808695652173913,0.7167184940698536,185,0.7291666666666666,0.7666666666666667
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.3,0.8181818181818182,0.8130841121495327,0.7183033044851611,173,0.6875,0.7133333333333334
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.35,0.8153846153846154,0.8333333333333334,0.7254444728688538,161,0.6770833333333334,0.64
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.4,0.8032786885245902,0.8390804597701149,0.7281313445138872,148,0.6354166666666666,0.58
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.45,0.8181818181818182,0.8395061728395061,0.7248425575588315,136,0.5729166666666666,0.54
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.5,0.8,0.8243243243243243,0.7233453357431708,124,0.5208333333333334,0.49333333333333335
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.55,0.7777777777777778,0.8059701492537313,0.7251864806617817,112,0.46875,0.44666666666666666
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.6,0.7804878048780488,0.8275862068965517,0.7340330491731234,99,0.4270833333333333,0.38666666666666666
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.65,0.7714285714285715,0.8076923076923077,0.7372331796500335,87,0.3645833333333333,0.3466666666666667
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.7,0.8,0.8222222222222222,0.7445891815063523,75,0.3125,0.3
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.75,0.84,0.8421052631578947,0.7474531541598204,63,0.2604166666666667,0.25333333333333335
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.8,0.85,0.8666666666666667,0.745259911871754,50,0.20833333333333334,0.2
