disease,tau,method,method_label,rejection_rate,sensitivity,specificity,auprc,n_retained,minority_coverage,majority_coverage
AD,0.54,margin,Margin (Global),0.3,0.8429752066115702,0.8383838383838383,0.9238421152207056,220,0.711764705882353,0.6875
AD,0.54,margin,Margin (Global),0.35,0.8584070796460177,0.8695652173913043,0.9316740566988322,205,0.6647058823529411,0.6388888888888888
AD,0.54,margin,Margin (Global),0.4,0.86,0.898876404494382,0.9365239403729333,189,0.5882352941176471,0.6180555555555556
AD,0.54,margin,Margin (Global),0.45,0.8777777777777778,0.9397590361445783,0.9406398618314026,173,0.5294117647058824,0.5763888888888888
AD,0.54,margin,Margin (Global),0.5,0.9,0.948051948051948,0.9429429230750342,157,0.47058823529411764,0.5347222222222222
AD,0.54,margin,Margin (Global),0.55,0.9166666666666666,0.9428571428571428,0.9455974835725891,142,0.4235294117647059,0.4861111111111111
AD,0.54,margin,Margin (Global),0.6,0.9047619047619048,0.9365079365079365,0.9484106016302758,126,0.37058823529411766,0.4375
AD,0.54,margin,Margin (Global),0.65,0.8888888888888888,0.9464285714285714,0.9520611107035059,110,0.3176470588235294,0.3888888888888889
AD,0.54,margin,Margin (Global),0.7,0.8695652173913043,0.9591836734693877,0.9602507219661878,95,0.27058823529411763,0.3402777777777778
AD,0.54,margin,Margin (Global),0.75,0.8918918918918919,0.9761904761904762,0.9718220845125947,79,0.21764705882352942,0.2916666666666667
AD,0.54,margin,Margin (Global),0.8,0.9259259259259259,1.0,0.9755077658303462,63,0.1588235294117647,0.25
AD,0.54,h_tau,H_tau (Global),0.0,0.7529411764705882,0.7430555555555556,0.8710440706902991,314,1.0,1.0
AD,0.54,h_tau,H_tau (Global),0.05,0.779874213836478,0.7428571428571429,0.8774906251800194,299,0.9352941176470588,0.9722222222222222
AD,0.54,h_tau,H_tau (Global),0.1,0.7894736842105263,0.7633587786259542,0.8866636163012624,283,0.8941176470588236,0.9097222222222222
AD,0.54,h_tau,H_tau (Global),0.15,0.7916666666666666,0.7723577235772358,0.89580871868934,267,0.8470588235294118,0.8541666666666666
AD,0.54,h_tau,H_tau (Global),0.2,0.8308823529411765,0.7844827586206896,0.9041710173122335,252,0.8,0.8055555555555556
AD,0.54,h_tau,H_tau (Global),0.25,0.8294573643410853,0.7850467289719626,0.9142352275782806,236,0.7588235294117647,0.7430555555555556
AD,0.54,h_tau,H_tau (Global),0.3,0.8583333333333333,0.81,0.9235306371257322,220,0.7058823529411765,0.6944444444444444
AD,0.54,h_tau,H_tau (Global),0.35,0.8761061946902655,0.8695652173913043,0.9316740566988322,205,0.6647058823529411,0.6388888888888888
AD,0.54,h_tau,H_tau (Global),0.4,0.89,0.8764044943820225,0.9362480404362639,189,0.5882352941176471,0.6180555555555556
AD,0.54,h_tau,H_tau (Global),0.45,0.9032258064516129,0.9125,0.9430401636119677,173,0.5470588235294118,0.5555555555555556
AD,0.54,h_tau,H_tau (Global),0.5,0.9302325581395349,0.9295774647887324,0.9476944598711216,157,0.5058823529411764,0.4930555555555556
AD,0.54,h_tau,H_tau (Global),0.55,0.9240506329113924,0.9365079365079365,0.9507272426410524,142,0.4647058823529412,0.4375
AD,0.54,h_tau,H_tau (Global),0.6,0.9130434782608695,0.9298245614035088,0.953431197853578,126,0.40588235294117647,0.3958333333333333
AD,0.54,h_tau,H_tau (Global),0.65,0.9047619047619048,0.9361702127659575,0.9632169684794105,110,0.37058823529411766,0.3263888888888889
AD,0.54,h_tau,H_tau (Global),0.7,0.9433962264150944,0.9285714285714286,0.9690130502342087,95,0.31176470588235294,0.2916666666666667
AD,0.54,h_tau,H_tau (Global),0.75,0.9555555555555556,0.9117647058823529,0.9778889494417012,79,0.2647058823529412,0.2361111111111111
AD,0.54,h_tau,H_tau (Global),0.8,0.9736842105263158,0.92,0.9845391901628168,63,0.2235294117647059,0.1736111111111111
AD,0.54,h_tau_ccr,H_tau + CCR (Proposed),0.0,0.7529411764705882,0.7430555555555556,0.8710440706902991,314,1.0,1.0
AD,0.54,h_tau_ccr,H_tau + CCR (Proposed),0.05,0.7639751552795031,0.7536231884057971,0.8785979199644185,299,0.9470588235294117,0.9583333333333334
AD,0.54,h_tau_ccr,H_tau + CCR (Proposed),0.1,0.7814569536423841,0.7669172932330827,0.8853386801088685,284,0.888235294117647,0.9236111111111112
AD,0.54,h_tau_ccr,H_tau + CCR (Proposed),0.15,0.7916666666666666,0.782258064516129,0.8949287906295196,268,0.8470588235294118,0.8611111111111112
AD,0.54,h_tau_ccr,H_tau + CCR (Proposed),0.2,0.7985074626865671,0.788135593220339,0.9034353647683243,252,0.788235294117647,0.8194444444444444
AD,0.54,h_tau_ccr,H_tau + CCR (Proposed),0.25,0.8267716535433071,0.8256880733944955,0.9132446402464465,236,0.7470588235294118,0.7569444444444444
AD,0.54,h_tau_ccr,H_tau + CCR (Proposed),0.3,0.8264462809917356,0.84,0.9229237042393355,221,0.711764705882353,0.6944444444444444
AD,0.54,h_tau_ccr,H_tau + CCR (Proposed),0.35,0.8495575221238938,0.8695652173913043,0.9316740566988322,205,0.6647058823529411,0.6388888888888888
AD,0.54,h_tau_ccr,H_tau + CCR (Proposed),0.4,0.8888888888888888,0.8777777777777778,0.9358509798359089,189,0.5823529411764706,0.625
AD,0.54,h_tau_ccr,H_tau + CCR (Proposed),0.45,0.9032258064516129,0.9125,0.9430401636119677,173,0.5470588235294118,0.5555555555555556
