disease,tau,method,method_label,sensitivity_at_30pct,specificity_at_30pct,sensitivity_stability,minority_coverage_at_30pct,class_separation,ccaugrc_progressor,ccaugrc_stable,global_augrc
AD,0.54,h_total,H_Total (Global),0.8983050847457628,0.7745098039215687,0.3666601912002937,0.6941176470588235,1.1598369448616177,0.05615916955017301,0.1005738811728395,0.07528195870015011
AD,0.54,margin,Margin (Global),0.8429752066115702,0.8383838383838383,0.2731761606535401,0.711764705882353,1.0054764512595837,0.07974048442906574,0.07303722993827161,0.07615420503874397
AD,0.54,h_tau,H_tau (Global),0.8583333333333333,0.81,0.3414131386569178,0.7058823529411765,1.059670781893004,0.07121107266435986,0.08111496913580248,0.0756115866769443
AD,0.54,h_tau_ccr,H_tau + CCR (Proposed),0.8264462809917356,0.84,0.33573606389314214,0.711764705882353,0.9838646202282566,0.07721453287197232,0.07482156635802469,0.07617448983731591
AD,0.54,random_ccr,Random + CCR (Control),0.7699115044247787,0.7314814814814815,0.07129942126322455,0.6647058823529411,1.0525372465553937,0.10923875432525952,0.1291232638888889,0.11869649884376648
AD,0.54,h_total_ccr,H_Total + CCR (Control),0.8264462809917356,0.84,0.34395544876895306,0.711764705882353,0.9838646202282566,0.07773356401384082,0.07527970679012347,0.07664611140411376
AD,0.54,margin_ccr,Margin + CCR (Control),0.8264462809917356,0.84,0.33573606389314214,0.711764705882353,0.9838646202282566,0.07721453287197232,0.07482156635802469,0.07617448983731591
