disease,tau,method,method_label,sensitivity_at_30pct,specificity_at_30pct,sensitivity_stability,minority_coverage_at_30pct,class_separation,ccaugrc_progressor,ccaugrc_stable,global_augrc
MS,0.13,h_total,H_Total (Global),0.08823529411764706,0.9531914893617022,-1.556160039421342,0.3695652173913043,0.09256827731092437,0.2777055765595463,0.04100308041380819,0.06779041359019346
MS,0.13,margin,Margin (Global),0.7903225806451613,0.7262443438914027,0.37497255574266924,0.6739130434782609,1.0882323384584465,0.09203686200378072,0.1519424921590623,0.1421296770936299
MS,0.13,h_tau,H_tau (Global),0.5319148936170213,0.8971553610503282,-0.725665370364948,0.5108695652173914,0.5928905033731189,0.21975425330812853,0.055724711227103575,0.0730906199887419
MS,0.13,h_tau_ccr,H_tau + CCR (Proposed),0.7903225806451613,0.7307692307692307,0.26472998239106516,0.6739130434782609,1.0814940577249577,0.11164933837429111,0.1293964576513053,0.12694284481808105
MS,0.13,random_ccr,Random + CCR (Control),0.7049180327868853,0.7178329571106095,0.19505574340589588,0.6630434782608695,0.9820084544798433,0.1441398865784499,0.13428416626603482,0.13546669864844738
MS,0.13,h_total_ccr,H_Total + CCR (Control),0.7346938775510204,0.7098901098901099,0.1172942533455586,0.532608695652174,1.0349402919062363,0.14803875236294897,0.13906885526125012,0.14013532935753376
MS,0.13,margin_ccr,Margin + CCR (Control),0.7903225806451613,0.7307692307692307,0.27144274661485795,0.6739130434782609,1.0814940577249577,0.11141304347826088,0.12934049637650746,0.12687320706977895
