disease,method,rejection_rate,fn_rejection_pct,tn_rejection_pct,fp_rejection_pct,tp_rejection_pct
PD,random_ccr,0.3,33.33333333333335,28.947368421052634,33.33333333333334,27.536231884057973
PD,random_ccr,0.35,37.03703703703704,34.21052631578947,38.8888888888889,31.88405797101449
PD,random_ccr,0.4,44.44444444444444,38.59649122807019,49.999999999999986,34.78260869565217
PD,random_ccr,0.45,48.14814814814816,43.859649122807014,52.77777777777776,40.57971014492754
PD,random_ccr,0.5,51.85185185185186,49.122807017543856,52.77777777777778,47.82608695652174
PD,random_ccr,0.55,59.25925925925925,53.508771929824576,61.11111111111111,50.72463768115942
PD,random_ccr,0.6,59.25925925925925,59.64912280701754,66.66666666666666,56.52173913043478
PD,random_ccr,0.65,66.66666666666666,64.03508771929825,69.44444444444444,62.31884057971014
PD,random_ccr,0.7,66.66666666666666,70.17543859649122,69.44444444444444,69.56521739130434
PD,random_ccr,0.75,70.37037037037037,75.43859649122807,75.0,73.91304347826086
PD,random_ccr,0.8,77.77777777777779,79.82456140350878,77.77777777777779,81.15942028985508
PD,h_total_ccr,0.0,0.0,0.0,0.0,0.0
PD,h_total_ccr,0.05,14.814814814814813,2.631578947368421,8.333333333333353,2.898550724637681
PD,h_total_ccr,0.1,22.22222222222222,7.017543859649122,13.888888888888909,7.246376811594203
PD,h_total_ccr,0.15,40.740740740740755,8.771929824561402,19.444444444444425,11.594202898550714
PD,h_total_ccr,0.2,44.44444444444443,14.035087719298245,27.777777777777768,15.942028985507244
PD,h_total_ccr,0.25,51.85185185185186,18.421052631578945,36.1111111111111,18.84057971014493
PD,h_total_ccr,0.3,55.55555555555556,23.684210526315788,41.66666666666667,23.18840579710145
PD,h_total_ccr,0.35,55.55555555555555,29.82456140350877,47.22222222222222,27.536231884057973
PD,h_total_ccr,0.4,55.55555555555555,35.96491228070175,55.55555555555556,31.88405797101449
PD,h_total_ccr,0.45,62.96296296296296,40.35087719298245,58.33333333333333,37.681159420289845
