disease,tau,method,method_label,rejection_rate,sensitivity,specificity,auprc,n_retained,minority_coverage,majority_coverage
MS,0.13,h_tau,H_tau (Global),0.8,0.0,1.0,0.056900334321380724,144,0.06521739130434782,0.22009569377990432
MS,0.13,h_tau_ccr,H_tau + CCR (Proposed),0.0,0.6630434782608695,0.7145135566188198,0.289525154026269,719,1.0,1.0
MS,0.13,h_tau_ccr,H_tau + CCR (Proposed),0.05,0.7011494252873564,0.7202680067001676,0.293558086379447,684,0.9456521739130435,0.9521531100478469
MS,0.13,h_tau_ccr,H_tau + CCR (Proposed),0.1,0.725,0.721830985915493,0.29612691583290435,648,0.8695652173913043,0.9059011164274322
MS,0.13,h_tau_ccr,H_tau + CCR (Proposed),0.15,0.7402597402597403,0.7252336448598131,0.30038441814077516,612,0.8369565217391305,0.8532695374800638
MS,0.13,h_tau_ccr,H_tau + CCR (Proposed),0.2,0.7671232876712328,0.7296222664015904,0.3046218074737478,576,0.7934782608695652,0.8022328548644339
MS,0.13,h_tau_ccr,H_tau + CCR (Proposed),0.25,0.7878787878787878,0.729957805907173,0.3058719180709936,540,0.717391304347826,0.7559808612440191
MS,0.13,h_tau_ccr,H_tau + CCR (Proposed),0.3,0.7903225806451613,0.7307692307692307,0.3087335108829981,504,0.6739130434782609,0.7049441786283892
MS,0.13,h_tau_ccr,H_tau + CCR (Proposed),0.35,0.7833333333333333,0.7328431372549019,0.3130353720497654,468,0.6521739130434783,0.6507177033492823
MS,0.13,h_tau_ccr,H_tau + CCR (Proposed),0.4,0.8035714285714286,0.7367021276595744,0.31555447756701527,432,0.6086956521739131,0.5996810207336523
MS,0.13,h_tau_ccr,H_tau + CCR (Proposed),0.45,0.8076923076923077,0.7383720930232558,0.3177753255980936,396,0.5652173913043478,0.5486443381180224
MS,0.13,h_tau_ccr,H_tau + CCR (Proposed),0.5,0.8,0.7333333333333333,0.3178204985084817,360,0.4891304347826087,0.5023923444976076
MS,0.13,h_tau_ccr,H_tau + CCR (Proposed),0.55,0.7857142857142857,0.7340425531914894,0.32242627336434976,324,0.45652173913043476,0.44976076555023925
MS,0.13,h_tau_ccr,H_tau + CCR (Proposed),0.6,0.7804878048780488,0.7408906882591093,0.33102215281473213,288,0.44565217391304346,0.3939393939393939
MS,0.13,h_tau_ccr,H_tau + CCR (Proposed),0.65,0.8285714285714286,0.7465437788018433,0.3334309642608415,252,0.3804347826086957,0.34609250398724084
MS,0.13,h_tau_ccr,H_tau + CCR (Proposed),0.7,0.8064516129032258,0.745945945945946,0.33560483530583285,216,0.33695652173913043,0.29505582137161085
MS,0.13,h_tau_ccr,H_tau + CCR (Proposed),0.75,0.8076923076923077,0.7467532467532467,0.3395004390004914,180,0.2826086956521739,0.24561403508771928
MS,0.13,h_tau_ccr,H_tau + CCR (Proposed),0.8,0.8571428571428571,0.7560975609756098,0.34652038523500633,144,0.22826086956521738,0.19617224880382775
MS,0.13,random_ccr,Random + CCR (Control),0.0,0.6630434782608695,0.7145135566188198,0.289525154026269,719,1.0,1.0
MS,0.13,random_ccr,Random + CCR (Control),0.05,0.6627906976744186,0.7140468227424749,0.2871586194798802,684,0.9347826086956522,0.9537480063795853
MS,0.13,random_ccr,Random + CCR (Control),0.1,0.6547619047619048,0.7145390070921985,0.29947390772965027,648,0.9130434782608695,0.8995215311004785
MS,0.13,random_ccr,Random + CCR (Control),0.15,0.6410256410256411,0.7116104868913857,0.28146274048726666,612,0.8478260869565217,0.8516746411483254
MS,0.13,random_ccr,Random + CCR (Control),0.2,0.6533333333333333,0.7145708582834331,0.2894398739056671,576,0.8152173913043478,0.7990430622009569
MS,0.13,random_ccr,Random + CCR (Control),0.25,0.6716417910447762,0.7145877378435518,0.2932770873751944,540,0.7282608695652174,0.7543859649122807
MS,0.13,random_ccr,Random + CCR (Control),0.3,0.7049180327868853,0.7178329571106095,0.30749049067198825,504,0.6630434782608695,0.7065390749601276
MS,0.13,random_ccr,Random + CCR (Control),0.35,0.7,0.7205882352941176,0.3422344759541942,468,0.6521739130434783,0.6507177033492823
MS,0.13,random_ccr,Random + CCR (Control),0.4,0.7192982456140351,0.7253333333333334,0.3795555101606583,432,0.6195652173913043,0.5980861244019139
MS,0.13,random_ccr,Random + CCR (Control),0.45,0.7450980392156863,0.7275362318840579,0.3968999662277045,396,0.5543478260869565,0.5502392344497608
MS,0.13,random_ccr,Random + CCR (Control),0.5,0.7391304347826086,0.7261146496815286,0.4066550059963564,360,0.5,0.5007974481658692
MS,0.13,random_ccr,Random + CCR (Control),0.55,0.775,0.7288732394366197,0.4125990075808919,324,0.43478260869565216,0.4529505582137161
MS,0.13,random_ccr,Random + CCR (Control),0.6,0.7837837837837838,0.7330677290836654,0.42438079691567065,288,0.40217391304347827,0.4003189792663477
MS,0.13,random_ccr,Random + CCR (Control),0.65,0.75,0.7272727272727273,0.4337518530771224,252,0.34782608695652173,0.3508771929824561
MS,0.13,random_ccr,Random + CCR (Control),0.7,0.7666666666666667,0.7365591397849462,0.47074120329271973,216,0.32608695652173914,0.2966507177033493
MS,0.13,random_ccr,Random + CCR (Control),0.75,0.7692307692307693,0.7402597402597403,0.49271030855223175,180,0.2826086956521739,0.24561403508771928
MS,0.13,random_ccr,Random + CCR (Control),0.8,0.8,0.7419354838709677,0.544198533096816,144,0.21739130434782608,0.19776714513556617
