sesso
familiarita_per_patologia___0
topografia_esordio___1
topografia_esordio___2
topografia_esordio___4
topografia_esordio___6
topografia_esordio___7
ricadute_1_val
rm00distretti00num_le
rm00distretti00sede_le___1
rm00distretti00sede_le___2
rm00distretti00sede_le___3
sieropositivita___0
n_ricadute_6m
n_ricadute00trattamentor1___1_6m
n_ricadute_12m
n_ricadute00trattamentor1___1_12m
n_ricadute_24m
n_ricadute00trattamentor1___1_24m
bande_oligoclonali_igg
trattamento_esordio
rm00distretti00legd
rm00distretti00nle_24m
